Frame Info: 
Type,Depth
Format,Z16
Frame Number,7083
Timestamp (ms),1587620653018.06
Resolution x,640
Resolution y,360
Bytes per pixel,2

Intrinsic:,
Fx,318.402496
Fy,318.402496
PPx,320.865143
PPy,176.714935
Distorsion,Brown Conrady
,,,
,x,y,z
a,93.3008, -299.478, -80.2495
b,62.5462, -290.667, -80.9785 
c,68.043 , -271.443, -80.5319
d,98.7976, -280.253, -79.8029
e,63.051 , -290.394, -98.9693
f,68.5478, -271.169, -98.5228 
g,99.3024, -279.979, -97.7937 
,Test,GroundTruth,relative error(%)
AB,32.00016536,32,0.00051675
BC,19.99941094,20,0.0029453
CF,18.00006616,18,0.000367556



